Results from heasarc_swiftgrb: Swift Gamma Ray Bursts Catalog
Coordinate system:  Equatorial
name       redshift
GRB050714B  3.5000
GRB060213   3.5000
GRB060923C  3.5000
GRB070328   3.5000
GRB070808   3.5000
GRB071129   3.5000
GRB080120   3.5000
GRB080212   3.5000
GRB080307   3.5000
GRB080408   3.5000
GRB080517   3.5000
GRB081109   3.5000
GRB100316C  3.5000
GRB060115   3.5328
GRB090323   3.5680
GRB050713A  3.6000
GRB100704A  3.6000
GRB070721B  3.6298
GRB060906   3.6856
GRB060605   3.7730
GRB050502A  3.7930
GRB120802A  3.7960
GRB081011   3.8000
GRB081029   3.8479
GRB090519   3.8500
GRB100413A  3.9000
GRB060210   3.9133
GRB120909A  3.9300
GRB050730   3.9693
GRB060105   4.0000
GRB080205   4.0000
GRB100518A  4.0000
GRB120308A  4.0000
GRB060206   4.0480
GRB090516   4.1090
GRB120712A  4.1745
GRB050505   4.2750
GRB080129   4.3490
GRB080916C  4.3500
GRB060223A  4.4060
GRB080320   4.5000
GRB100902A  4.5000
GRB090205   4.6497
GRB100219A  4.6667
GRB100513A  4.7720
GRB071025   4.8000
GRB100302A  4.8130
GRB060510B  4.9410
GRB111008A  4.9898
GRB071118   5.0000
GRB081128   5.0000
GRB060522   5.1100
GRB050502B  5.2000
GRB051008   5.2000
GRB050814   5.3000
GRB060927   5.4636
GRB080727B  5.5000
GRB120521C  6.0000
GRB050904   6.2950
GRB060116   6.6000
GRB080913   6.7330
GRB120923A  8.0000
GRB090423   8.2300
GRB090429B  9.4000
GRB100205A 11.0000
